txn_id,user_id,timestamp,merchant,instrument,intent,amount,order_type,channel,is_fraud
363d9252-9e1e-4ef7-b6e6-812cf29ec5fc,310c8e0c-2f0f-40d1-aa43-a937864150ad,2020-01-01 03:54:00,Wealthfront,MSFT,sell,1407.8,market,web,0
4ec09739-15c6-4032-9796-825369792e47,c9947ee9-a65f-4f99-bc5b-eb1da997b46f,2020-01-01 09:07:00,TD Ameritrade,AAPL,sell,3950.24,limit,API,0
9610866d-e64f-426a-b980-ae785ef442e6,ad3d8252-6699-4504-ad98-76cd0db686e7,2020-01-01 12:33:00,TD Ameritrade,AAPL,sell,508.87,market,web,0
f31fce36-3e97-4e8c-9d63-02afe2e07091,571a8f57-49b6-4ae9-aee7-2ed13240552d,2020-01-01 22:54:00,Fidelity,AAPL,sell,179.52,market,API,0
b8958781-ed9b-41ca-bcf9-7757263c0318,f5622747-c0f7-4411-8e8d-873c0358efa5,2020-01-01 01:58:00,TD Ameritrade,AMZN,buy,2757.25,limit,API,0
fbdfb506-31eb-43ee-b071-dac9f27fb809,ba054b35-e879-4c28-8cca-c45096eda79d,2020-01-01 07:41:00,Robinhood,AAPL,sell,62.4,market,mobile,0
81f433ad-e53e-4d8d-bf4d-89f8edac075e,b060445b-bd00-4bee-a02d-d5d8b605c012,2020-01-01 05:59:00,Wealthfront,META,buy,5359.29,market,API,0
e7e47f99-123b-41ad-bd86-09d98e51c8a1,b0deb713-7ac7-4b2d-b012-d0ca56ec6e49,2020-01-01 18:18:00,Wealthfront,META,buy,602.04,limit,web,0
994b0104-4069-4341-b476-7472dcfeb64a,ec8494fc-6703-431a-9bc7-d9f235c57cc1,2020-01-01 15:41:00,Fidelity,GOOG,sell,1088.26,market,mobile,0
effedcca-311f-45ff-897c-e5603a31a986,6d98f452-741d-4a59-9edf-e6246fea08d7,2020-01-01 03:47:00,Robinhood,AAPL,buy,1696.61,limit,web,0
f52e0432-7c22-40fb-b798-819967b1e728,8e949ee9-4ce4-422c-a4f8-6b4fb72bd2d6,2020-01-02 11:55:00,Robinhood,META,buy,2839.11,limit,API,0
a87bb893-43b5-4837-9666-36964d0123e3,893f7cb1-fdfd-407d-9850-cba64aa9c2f7,2020-01-02 16:57:00,Robinhood,META,sell,1036.55,limit,web,0
2077e817-9ae4-46be-ac52-f32a162fc267,f9de7fea-5aa2-48b3-86b8-2ca3edaf5daf,2020-01-02 13:36:00,TD Ameritrade,GOOG,sell,1826.8,market,web,0
6c3e8683-2fb5-4a9b-829b-3f7ab8622873,fdcc29d0-e6a3-49b4-a3f4-891691c79630,2020-01-02 01:19:00,Robinhood,MSFT,buy,668.21,market,mobile,0
d0cbf1b8-fe07-4fe1-93f6-e0711e0731a6,5166d044-2526-4053-98ff-80775f0c801e,2020-01-02 10:44:00,TD Ameritrade,MSFT,sell,2692.51,limit,API,0
